date,missile_name,missile_type,apogee,outcome
1984-04-09,Scud-B,SRBM,NA,Success
1984-04-09,Scud-B,SRBM,NA,Success
1984-04-09,Scud-B,SRBM,200,Success
1984-09-01,Scud-B,SRBM,NA,Failure
1984-09-01,Scud-B,SRBM,200,Failure
1984-09-01,Scud-B,SRBM,200,Failure
1986-05-01,Unknown,Unknown,NA,Unknown
1990-05-01,Nodong,MRBM,150,Failure
1990-06-01,Scud-C,SRBM,200,Success
1991-07-01,Scud-C,SRBM,NA,Success
1992-06-01,Nodong,MRBM,0,Failure
1993-05-29,Nodong,MRBM,150,Success
1993-05-29,Scud-C,SRBM,200,Unknown
1993-05-29,Scud-C,SRBM,200,Success
1993-05-30,Scud-C,SRBM,200,Success
1998-08-31,Taepodong-1,SLV,NA,Failure
2006-07-05,Unha,SLV,40,Failure
2006-07-05,Scud-C,SRBM,150,Success
2006-07-05,Nodong,MRBM,150,Success
2006-07-05,Scud-C,SRBM,150,Success
2006-07-05,Nodong,MRBM,150,Success
2006-07-05,Nodong,MRBM,150,Success
2006-07-05,Nodong,MRBM,150,Success
2009-04-05,Unha,SLV,NA,Failure
2009-07-05,Nodong,MRBM,150,Success
2009-07-05,Nodong,MRBM,150,Success
2009-07-05,Scud-C,SRBM,NA,Success
2009-07-05,Scud-C,SRBM,NA,Success
2009-07-05,Scud-C,SRBM,NA,Success
2009-07-05,Scud-C,SRBM,NA,Success
2009-07-05,Scud-C,SRBM,NA,Success
2012-04-13,Unha-3,SLV,NA,Failure
2012-12-12,Unha-3,SLV,581,Success
2013-05-18,KN-02,SRBM,NA,Success
2013-05-18,KN-02,SRBM,NA,Success
2013-05-18,KN-02,SRBM,NA,Success
2013-05-19,KN-02,SRBM,NA,Success
2013-05-20,KN-02,SRBM,NA,Success
2013-05-20,KN-02,SRBM,NA,Success
2014-02-27,Scud-B,SRBM,80,Success
2014-02-27,Scud-B,SRBM,NA,Success
2014-02-27,Scud-B,SRBM,NA,Success
2014-02-27,Scud-B,SRBM,NA,Success
2014-03-03,Scud-C,SRBM,150,Success
2014-03-03,Scud-C,SRBM,NA,Success
2014-03-26,Nodong,MRBM,150,Success
2014-03-26,Nodong,MRBM,150,Success
2014-06-26,KN-02,SRBM,NA,Success
2014-06-29,Scud-C,SRBM,150,Success
2014-06-29,Scud-C,SRBM,150,Success
2014-07-09,Scud-C,SRBM,100,Success
2014-07-09,Scud-C,SRBM,100,Success
2014-07-13,Scud-C,SRBM,120,Success
2014-07-13,Scud-C,SRBM,120,Success
2014-07-26,Scud-C,SRBM,NA,Success
2014-08-14,KN-02,SRBM,NA,Success
2014-09-01,KN-02,SRBM,NA,Success
2014-09-06,KN-02,SRBM,NA,Success
2015-02-08,KN-02,SRBM,NA,Success
2015-02-08,KN-02,SRBM,NA,Success
2015-02-08,KN-02,SRBM,NA,Success
2015-02-08,KN-02,SRBM,NA,Success
2015-02-08,KN-02,SRBM,NA,Success
2015-03-01,Scud-C,SRBM,134,Success
2015-03-01,Scud-C,SRBM,134,Success
2015-04-02,KN-02,SRBM,NA,Success
2015-04-03,KN-02,SRBM,NA,Success
2015-04-03,KN-02,SRBM,NA,Success
2015-04-03,KN-02,SRBM,NA,Success
2015-04-03,KN-02,SRBM,NA,Success
2015-05-08,Polaris-1,SLBM,NA,Success
2015-11-28,Polaris-1,SLBM,NA,Failure
2015-12-21,Polaris-1,SLBM,NA,Failure
2016-02-07,Unha-3,SLV,502,Success
2016-03-10,Scud-C,SRBM,NA,Success
2016-03-10,Scud-C,SRBM,NA,Success
2016-03-18,Nodong,MRBM,NA,Success
2016-03-18,Nodong,MRBM,17,Failure
2016-04-15,Musudan,IRBM,NA,Failure
2016-04-23,Polaris-1,SLBM,NA,Success
2016-04-28,Musudan,IRBM,NA,Failure
2016-04-28,Musudan,IRBM,NA,Failure
2016-05-31,Musudan,IRBM,NA,Failure
2016-06-22,Musudan,IRBM,NA,Failure
2016-06-22,Musudan,IRBM,1400,Success
2016-07-09,Polaris-1,SLBM,10,Failure
2016-07-18,Scud-C,SRBM,NA,Success
2016-07-18,Scud-C,SRBM,NA,Success
2016-07-18,Nodong,MRBM,NA,Success
2016-08-02,Nodong,MRBM,NA,Success
2016-08-02,Nodong,MRBM,NA,Failure
2016-08-24,Polaris-1,SLBM,NA,Success
2016-09-05,ER Scud,MRBM,NA,Success
2016-09-05,ER Scud,MRBM,NA,Success
2016-09-05,ER Scud,MRBM,NA,Success
2016-10-14,Musudan,IRBM,NA,Failure
2016-10-19,Musudan,IRBM,NA,Failure
2017-02-12,Polaris-2,MRBM,550,Success
2017-03-06,ER Scud,MRBM,260,Success
2017-03-06,ER Scud,MRBM,260,Success
2017-03-06,ER Scud,MRBM,260,Success
2017-03-06,ER Scud,MRBM,260,Success
2017-03-22,Unknown,Unknown,0,Failure
2017-04-05,Hwasong-12,IRBM,189,Failure
2017-04-16,Hwasong-12,IRBM,0,Failure
2017-04-29,Hwasong-12,IRBM,71,Failure
2017-05-14,Hwasong-12,IRBM,2111,Success
2017-05-21,Polaris-2,MRBM,560,Success
2017-05-29,Scud-C MaRV,SRBM,120,Success
2017-07-04,Hwasong-14,ICBM,2802,Success
2017-07-28,Hwasong-14,ICBM,3724,Success
2017-08-25,Scud-B MaRV,SRBM,NA,Success
2017-08-25,Scud-B MaRV,SRBM,NA,Failure
2017-08-25,Scud-B MaRV,SRBM,NA,Success
2017-08-28,Hwasong-12,IRBM,550,Unknown
2017-09-14,Hwasong-12,IRBM,770,Success
